Chief among these motives was the overwhelming idea of the great whale himself.	jj-in-dt-nns-vbd-dt-jj-nn-in-dt-jj-nn-prp-.	ch-iy-f ah-m-ah-ng dh-iy-z m-ow-t-ih-v-z w-aa-z dh-ah ow-v-er-w-eh-l-m-ih-ng ay-d-iy-ah ah-v dh-ah g-r-ey-t w-ey-l hh-ih-m-s-eh-l-f .	1 0/1 1 1/0 1 0 0/0/1/0 0/1/0 1 0 1 1 0/1 .
By my retentive memory of the hieroglyphics upon one Sperm Whale in particular, I was much struck with a plate representing the old Indian characters chiselled on the famous hieroglyphic palisades on the banks of the Upper Mississippi.	in-prp$-nn-nn-in-dt-nns-in-cd-nnp-nnp-in-jj-,-prp-vbd-jj-vbd-in-dt-nn-vbg-dt-jj-nnp-nns-vbn-in-dt-jj-nn-nns-in-dt-nns-in-dt-jj-nnp-.	b-ay m-ay r-eh-t-eh-n-t-ih-v m-eh-m-er-iy ah-v dh-ah hh-ay-r-ow-g-l-ih-f-ih-k-s ah-p-aa-n w-ah-n s-p-er-m w-ey-l ih-n p-er-t-ih-k-y-ah-l-er , iy w-aa-z m-ah-ch s-t-r-ah-k w-ih-dh ey p-l-ey-t r-eh-p-r-ih-z-eh-n-t-ih-ng dh-ah ow-l-d ih-n-d-iy-ah-n ch-eh-r-ah-k-t-er-z ch-ih-z-eh-l-d aa-n dh-ah f-ey-m-ah-s hh-ay-r-ow-g-l-ih-f-ih-k p-ae-l-ah-s-ey-d-z aa-n dh-ah b-ae-ng-k-s ah-v dh-ah ah-p-er m-ih-s-ah-s-ih-p-iy .	1 1 1/1/0 1/0/0 1 0 1/0/1/0 0/1 1 1 1 0 0/1/0/0 , 0 1 1 1 1 1 1 0/0/1/0 0 1 1/0 1/0/0 1/1 1 0 1/0 1/0/1/0 1/0/1 1 0 1 1 0 1/0 1/0/1/0 .
Like those mystic rocks, too, the mystic-marked whale remains undecipherable.	in-dt-jj-nns-,-rb-,-dt-nn-nn-vbz-nn-.	l-ay-k dh-ow-z m-ih-s-t-ih-k r-aa-k-s , t-uw , dh-ah m-ih-s-t-ih-k-m-aa-r-k-t w-ey-l r-ah-m-ey-n-z ah-n-d-ah-s-ah-f-er-ah-b-ah-l .	1 1 1/0 1 , 1 , 0 1/0/1 1 0/1 1/0/0/0/0 .
Besides all the other phenomena which the exterior of the Sperm Whale presents, he not seldom displays the back, and more especially his flanks, effaced in great part of the regular linear appearance, by reason of numerous rude scratches, altogether of an irregular, random aspect.	in-dt-dt-jj-nns-wdt-dt-jj-in-dt-nnp-nnp-vbz-,-prp-rb-rb-nns-dt-jj-,-cc-jjr-rb-prp$-nns-,-nn-in-jj-nn-in-dt-jj-jj-nn-,-in-nn-in-jj-jj-nns-,-rb-in-dt-jj-,-jj-nn-.	b-ih-s-ay-d-z ao-l dh-ah ah-dh-er f-ah-n-aa-m-iy-n-ah w-ih-ch dh-ah ih-k-s-t-ih-r-iy-er ah-v dh-ah s-p-er-m w-ey-l p-r-eh-z-eh-n-t-s , hh-iy n-aa-t s-eh-l-d-ah-m d-ih-s-p-l-ey-z dh-ah b-ae-k , ae-n-d m-ao-r ah-s-p-eh-sh-l-iy hh-ih-z f-l-ae-ng-k-s , eh-f-ey-s-t ih-n g-r-ey-t p-aa-r-t ah-v dh-ah r-eh-g-y-ah-l-er l-ih-n-iy-er ah-p-ih-r-ah-n-s , b-ay r-iy-z-ah-n ah-v n-uw-m-er-ah-s r-uw-d s-k-r-ae-ch-ah-z , ao-l-t-ah-g-eh-dh-er ah-v ae-n ih-r-eh-g-y-ah-l-er , r-ae-n-d-ah-m ae-s-p-eh-k-t .	0/1 1 0 1/0 0/1/1/0 1 0 0/1/0/0 1 0 1 1 1/1 , 1 1 1/0 1/1 0 1 , 1 1 0/1/0 1 1 , 1/1 0 1 1 1 0 1/0/0 1/0/0 0/1/0 , 1 1/0 1 1/0/0 1 1/0 , 0/0/1/0 1 1 0/1/0/0 , 1/0 1/0 .
I should say that those New England rocks on the sea-coast, which Agassiz imagines to bear the marks of violent scraping contact with vast floating icebergs--I should say, that those rocks must not a little resemble the Sperm Whale in this particular.	prp-md-vbp-in-dt-jj-nnp-vbz-in-dt-nn-,-wdt-nnp-vbz-to-vb-dt-nns-in-jj-vbg-nn-in-jj-vbg-nns-cd-prp-md-vbp-,-in-dt-nns-md-rb-dt-jj-vb-dt-nnp-nnp-in-dt-jj-.	iy sh-uh-d s-ey dh-ae-t dh-ow-z n-uw ih-ng-g-l-ah-n-d r-aa-k-s aa-n dh-ah s-iy-k-ow-s-t , w-ih-ch ae-g-ae-ah-z ih-m-ae-jh-ah-n-z t-uw b-eh-r dh-ah m-aa-r-k-s ah-v v-ay-ah-l-ah-n-t s-k-r-ey-p-ih-ng k-aa-n-t-ae-k-t w-ih-dh v-ae-s-t f-l-ow-t-ih-ng ay-s-b-er-g-z -- iy sh-uh-d s-ey , dh-ae-t dh-ow-z r-aa-k-s m-ah-s-t n-aa-t ey l-ih-t-ah-l r-ih-z-eh-m-b-ah-l dh-ah s-p-er-m w-ey-l ih-n dh-ih-s p-er-t-ih-k-y-ah-l-er .	0 1 1 1 1 1 1/0 1 1 0 1/1 , 1 1/1 0/1/0 1 1 0 1 1 1/0/0 1/0 1/0 1 1 1/0 1/0 -- 0 1 1 , 1 1 1 1 1 1 1/0 0/1/0 0 1 1 0 1 0/1/0/0 .
It also seems to me that such scratches in the whale are probably made by hostile contact with other whales; for I have most remarked them in the large, full-grown bulls of the species.	prp-rb-vbz-to-prp-in-jj-nns-in-dt-nn-vbp-rb-vbn-in-jj-nn-in-jj-nns-;-in-prp-vbp-rbs-vbd-prp-in-dt-jj-,-nn-vbz-in-dt-nn-.	ih-t ao-l-s-ow s-iy-m-z t-uw m-iy dh-ae-t s-ah-ch s-k-r-ae-ch-ah-z ih-n dh-ah w-ey-l aa-r p-r-aa-b-ah-b-l-iy m-ey-d b-ay hh-aa-s-t-ah-l k-aa-n-t-ae-k-t w-ih-dh ah-dh-er w-ah-l-z ; f-ao-r iy hh-ae-v m-ow-s-t r-ih-m-aa-r-k-t dh-eh-m ih-n dh-ah l-aa-r-jh , f-uh-l-g-r-ow-n b-uh-l-z ah-v dh-ah s-p-iy-sh-iy-z .	1 1/0 1 1 1 1 1 1/0 0 0 1 1 1/0/0 1 1 1/0 1/0 1 1/0 0 ; 1 0 1 1 0/1 1 0 0 1 , 1/1 1 1 0 1/0 .
A word or two more concerning this matter of the skin or blubber of the whale.	dt-nn-cc-cd-jjr-vbg-dt-nn-in-dt-nn-cc-nn-in-dt-nn-.	ey w-er-d ao-r t-uw m-ao-r k-ah-n-s-er-n-ih-ng dh-ih-s m-ae-t-er ah-v dh-ah s-k-ih-n ao-r b-l-ah-b-er ah-v dh-ah w-ey-l .	1 1 1 1 1 0/1/0 1 1/0 1 0 1 1 1/0 1 0 1 .
For the whale is indeed wrapt up in his blubber as in a real blanket or counterpane; or, still better, an Indian poncho slipt over his head, and skirting his extremity.	in-dt-nn-vbz-rb-nn-in-in-prp$-nn-in-in-dt-jj-nn-cc-nn-;-cc-,-rb-jjr-,-dt-nnp-nn-nn-in-prp$-nn-,-cc-vbg-prp$-nn-.	f-ao-r dh-ah w-ey-l ih-s ih-n-d-iy-d r-ae-p-t ah-p ih-n hh-ih-z b-l-ah-b-er ae-z ih-n ey r-iy-l b-l-ae-ng-k-ah-t ao-r k-aw-n-t-er-p-ah-n ; ao-r , s-t-ih-l b-eh-t-er , ae-n ih-n-d-iy-ah-n p-aa-n-ch-ow s-l-ih-p-t ow-v-er hh-ih-z hh-eh-d , ae-n-d s-k-er-t-ih-ng hh-ih-z ih-k-s-t-r-eh-m-ah-t-iy .	1 0 1 1 0/1 1 1 0 1 1/0 1 0 1 1 1/0 1 1/0/0 ; 1 , 1 1/0 , 1 1/0 1/0 1 1/0 1 1 , 1 1/0 1 0/1/0/0 .
It is by reason of this cosy blanketing of his body, that the whale is enabled to keep himself comfortable in all weathers, in all seas, times, and tides.	prp-vbz-in-nn-in-dt-nn-nn-in-prp$-nn-,-in-dt-nn-vbz-vbd-to-vb-prp-jj-in-dt-nns-,-in-dt-nns-,-vbz-,-cc-vbz-.	ih-t ih-s b-ay r-iy-z-ah-n ah-v dh-ih-s k-aa-z-iy b-l-ae-ng-k-ah-t-ih-ng ah-v hh-ih-z b-aa-d-iy , dh-ae-t dh-ah w-ey-l ih-s eh-n-ey-b-ah-l-d t-uw k-iy-p hh-ih-m-s-eh-l-f k-ah-m-f-er-t-ah-b-ah-l ih-n ao-l w-eh-dh-er-z , ih-n ao-l s-iy-z , t-ay-m-z , ae-n-d t-ay-d-z .	1 1 1 1/0 1 1 1/0 1/0/0 1 1 1/0 , 1 0 1 1 0/1/0 1 1 0/1 1/0/0/0 0 1 1/0 , 0 1 1 , 1 , 1 1 .
What would become of a Greenland whale, say, in those shuddering, icy seas of the North, if unsupplied with his cosy surtout?	wp-md-vb-in-dt-nnp-nn-,-vbp-,-in-dt-vbg-,-jj-nns-in-dt-jj-,-in-nn-in-prp$-nn-nn-?	w-ah-t w-uh-d b-ih-k-ah-m ah-v ey g-r-iy-n-l-ah-n-d w-ey-l , s-ey , ih-n dh-ow-z sh-ah-d-er-ih-ng , ay-s-iy s-iy-z ah-v dh-ah n-ao-r-th , ih-f ah-n-s-ah-p-l-ay-d w-ih-dh hh-ih-z k-aa-z-iy s-er-t-aw-t ?	1 1 0/1 1 1 1/0 1 , 1 , 0 1 1/0/0 , 1/0 1 1 0 1 , 1 0/0/1 1 1 1/0 1/1 ?
True, other fish are found exceedingly brisk in those Hyperborean waters; but these, be it observed, are your cold-blooded, lungless fish, whose very bellies are refrigerators; creatures, that warm themselves under the lee of an iceberg, as a traveller in winter would bask before an inn fire; whereas, like man, the whale has lungs and warm blood.	jj-,-jj-nn-vbp-vbd-rb-jj-in-dt-nnp-vbz-;-cc-dt-,-vb-prp-vbn-,-vbp-prp$-nn-,-nns-vbp-,-wp$-rb-nns-vbp-nns-;-nns-,-in-jj-prp-in-dt-nn-in-dt-nn-,-in-dt-nn-in-nn-md-vb-in-dt-nn-nn-;-in-,-in-nn-,-dt-nn-vbz-nns-cc-jj-nn-.	t-r-uw , ah-dh-er f-ih-sh aa-r f-aw-n-d ih-k-s-iy-d-ih-ng-l-iy b-r-ih-s-k ih-n dh-ow-z hh-ay-p-er-b-er-iy-ah-n w-ao-t-er-z ; b-ah-t dh-iy-z , b-iy ih-t ah-b-z-er-v-d , aa-r y-ao-r k-ow-l-d-b-l-ah-d-ah-d , l-ah-ng-l-ah-s f-ih-sh , hh-uw-z v-eh-r-iy b-eh-l-iy-z aa-r r-ah-f-r-ih-jh-er-ey-t-er-z ; k-r-iy-ey-ch-er-z , dh-ae-t w-ao-r-m dh-eh-m-s-eh-l-v-z ah-n-d-er dh-ah l-iy ah-v ae-n ay-s-b-er-g , ae-z ey t-r-ae-v-ah-l-er ih-n w-ih-n-t-er w-uh-d b-ae-s-k b-ih-f-ao-r ae-n ih-n f-ay-er ; w-eh-r-ae-z , l-ay-k m-ae-n , dh-ah w-ey-l hh-ae-z l-ah-ng-z ae-n-d w-ao-r-m b-l-ah-d .	1 , 1/0 1 1 1 0/1/0/0 1 0 1 1/0/0 1/0 ; 1 1 , 1 1 0/1 , 1 1 1/1/0 , 1/0 1 , 1 1/0 1/0 1 0/1/1/0 ; 1/0 , 1 1 0/1 1/0 0 1 1 1 1/0 , 1 1 1/0/0 0 1/0 1 1 0/1 1 1 1/0 ; 0/1 , 1 1 , 0 1 1 1 1 1 1 .
But more surprising is it to know, as has been proved by experiment, that the blood of a Polar whale is warmer than that of a Borneo negro in summer.	cc-jjr-jj-vbz-prp-to-vb-,-in-vbz-vbn-vbd-in-nn-,-in-dt-nn-in-dt-jj-nn-vbz-jjr-in-in-in-dt-nnp-nnp-in-nn-.	b-ah-t m-ao-r s-er-p-r-ay-z-ih-ng ih-s ih-t t-uw n-ow , ae-z hh-ae-z b-ih-n p-r-uw-v-d b-ay ih-k-s-p-eh-r-ah-m-ah-n-t , dh-ae-t dh-ah b-l-ah-d ah-v ey p-ow-l-er w-ey-l ih-s w-ao-r-m-er dh-ae-n dh-ae-t ah-v ey b-ao-r-n-iy-ow n-iy-g-r-ow ih-n s-ah-m-er .	1 1 0/1/0 1 1 1 1 , 1 1 1 1 1 0/1/0/0 , 1 0 1 1 1 1/0 1 1 1/0 1 1 1 1 1/0 1/0 0 1/0 .
Oh, man! admire and model thyself after the whale!	uh-,-nn-!-vb-cc-nn-nn-in-dt-nn-!	ow , m-ae-n ! ae-d-m-ay-r ae-n-d m-aa-d-ah-l dh-ay-s-eh-l-f ae-f-t-er dh-ah w-ey-l !	1 , 1 ! 0/1 1 1/0 1/1 1/0 0 1 !
Like the great dome of St. Peter's, and like the great whale, retain, O man! in all seasons a temperature of thine own.	in-dt-jj-nn-in-nnp-.-nnps-,-cc-in-dt-jj-nn-,-vb-,-O-nn-!-in-dt-nns-dt-nn-in-jj-jj-.	l-ay-k dh-ah g-r-ey-t d-ow-m ah-v s-t . p-iy-t-er-z , ae-n-d l-ay-k dh-ah g-r-ey-t w-ey-l , r-ih-t-ey-n , ow m-ae-n ! ih-n ao-l s-iy-z-ah-n-z ey t-eh-m-p-r-ah-ch-er ah-v dh-ay-n ow-n .	1 0 1 1 1 0 . 1/0 , 1 1 0 1 1 , 0/1 , 1 1 ! 0 1 1/0 1 1/0/0 1 1 1 .
Of erections, how few are domed like St. Peter's! of creatures, how few vast as the whale!	in-nns-,-wrb-jj-vbp-jj-in-nnp-.-nnps-!-in-nns-,-wrb-jj-jj-in-dt-nn-!	ah-v ih-r-eh-k-sh-ah-n-z , hh-aw f-y-uw aa-r d-ow-m-d l-ay-k s-t . p-iy-t-er-z ! ah-v k-r-iy-ey-ch-er-z , hh-aw f-y-uw v-ae-s-t ae-z dh-ah w-ey-l !	1 0/1/0 , 1 1 1 1 1 0 . 1/0 ! 1 1/0 , 1 1 1 1 0 1 !
The peeled white body of the beheaded whale flashes like a marble sepulchre; though changed in hue, it has not perceptibly lost anything in bulk.	dt-nn-jj-nn-in-dt-nn-nn-vbz-in-dt-nn-nn-;-in-vbn-in-nn-,-prp-vbz-rb-rb-vbd-nn-in-nn-.	dh-ah p-iy-l-d w-ay-t b-aa-d-iy ah-v dh-ah b-ih-hh-eh-d-ih-d w-ey-l f-l-ae-sh-ah-z l-ay-k ey m-aa-r-b-ah-l s-eh-p-ah-l-ch-r ; dh-ow ch-ey-n-jh-d ih-n hh-y-uw , ih-t hh-ae-z n-aa-t p-er-s-eh-p-t-ih-b-l-iy l-ao-s-t eh-n-iy-th-ih-ng ih-n b-ah-l-k .	0 1 1 1/0 1 0 0/1/0 1 1/0 1 1 1/0 1/1 ; 1 1 0 1 , 1 1 1 0/1/1/0 1 1/0/0 0 1 .
Slowly it floats more and more away, the water round it torn and splashed by the insatiate sharks, and the air above vexed with rapacious flights of screaming fowls, whose beaks are like so many insulting poniards in the whale.	rb-prp-vbz-jjr-cc-jjr-rb-,-dt-nn-nn-prp-vbn-cc-vbd-in-dt-nn-nns-,-cc-dt-nn-in-vbn-in-jj-nns-in-vbg-nns-,-wp$-nns-vbp-in-rb-jj-jj-nns-in-dt-nn-.	s-l-ow-l-iy ih-t f-l-ow-t-s m-ao-r ae-n-d m-ao-r ah-w-ey , dh-ah w-ao-t-er r-aw-n-d ih-t t-ao-r-n ae-n-d s-p-l-ae-sh-t b-ay dh-ah ih-n-s-ey-sh-iy-ey-t sh-aa-r-k-s , ae-n-d dh-ah eh-r ah-b-ah-v v-eh-k-s-t w-ih-dh r-ah-p-ae-sh-ih-s f-l-ay-t-s ah-v s-k-r-iy-m-ih-ng f-aw-l-z , hh-uw-z b-iy-k-s aa-r l-ay-k s-ow m-eh-n-iy ih-n-s-ah-l-t-ih-ng p-ow-n-iy-er-d-z ih-n dh-ah w-ey-l .	1/0 1 1 1 1 1 0/1 , 0 1/0 1 1 1 1 1 1 0 1/1/1 1 , 1 0 1 0/1 1 1 0/1/0 1 1 1/0 1 , 1 1 1 1 1 1/0 0/1/0 1/0 0 0 1 .
In life but few of them would have helped the whale, I ween, if peradventure he had needed it; but upon the banquet of his funeral they most piously do pounce.	in-nn-cc-jj-in-prp-md-vbp-vbd-dt-nn-,-prp-nn-,-in-nn-prp-vbd-vbn-prp-;-cc-in-dt-nn-in-prp$-jj-prp-rbs-rb-vb-vb-.	ih-n l-ay-f b-ah-t f-y-uw ah-v dh-eh-m w-uh-d hh-ae-v hh-eh-l-p-t dh-ah w-ey-l , iy w-iy-n , ih-f p-er-ae-d-v-eh-n-ch-er hh-iy hh-ae-d n-iy-d-ah-d ih-t ; b-ah-t ah-p-aa-n dh-ah b-ae-ng-k-w-ah-t ah-v hh-ih-z f-y-uw-n-er-ah-l dh-ey m-ow-s-t p-ay-ah-s-l-iy d-uw p-aw-n-s .	0 1 1 1 1 1 1 1 1 0 1 , 0 1 , 1 1/1/0 1 1 1/0 1 ; 1 0/1 0 1/0 1 1 1/0/0 1 1 1/0/0 1 1 .
Oh, horrible vultureism of earth! from which not the mightiest whale is free.	uh-,-jj-nn-in-nn-!-in-wdt-rb-dt-jjs-nn-vbz-jj-.	ow , hh-ao-r-ah-b-ah-l v-ah-l-ch-er-ay-z-ah-m ah-v er-th ! f-r-ah-m w-ih-ch n-aa-t dh-ah m-ay-t-iy-ah-s-t w-ey-l ih-s f-r-iy .	1 , 1/0/0 1/1/0 1 1 ! 1 1 1 0 1/0/0 1 1 1 .
Espied by some timid man-of-war or blundering discovery-vessel from afar, when the distance obscuring the swarming fowls, nevertheless still shows the white mass floating in the sun, and the white spray heaving high against it; straightway the whale's unharming corpse, with trembling fingers is set down in the log--SHOALS, ROCKS, AND BREAKERS HEREABOUTS: BEWARE!	nnp-in-dt-jj-nn-cc-nn-nn-in-rb-,-wrb-dt-nn-vbg-dt-vbg-nns-,-rb-rb-nns-dt-jj-nn-vbg-in-dt-nn-,-cc-dt-jj-nn-vbg-jj-in-prp-;-nn-dt-nns-nn-nn-,-in-vbg-nns-vbz-vbn-rb-in-dt-nn-cd-nnp-,-nnp-,-cc-nnp-rb-:-vb-!	eh-s-p-iy-d b-ay s-ah-m t-ih-m-ih-d m-ae-n-ao-f-w-r ao-r b-l-ah-n-d-er-ih-ng d-ih-s-k-ah-v-er-iy-v-ah-s-s-ah-l f-r-ah-m ah-f-aa-r , w-eh-n dh-ah d-ih-s-t-ah-n-s ah-b-s-k-y-uh-r-ih-ng dh-ah s-w-ao-r-m-ih-ng f-aw-l-z , n-eh-v-er-dh-ah-l-eh-s s-t-ih-l sh-ow-z dh-ah w-ay-t m-ae-s f-l-ow-t-ih-ng ih-n dh-ah s-ah-n , ae-n-d dh-ah w-ay-t s-p-r-ey hh-iy-v-ih-ng hh-ay ah-g-eh-n-s-t ih-t ; s-t-r-ey-t-w-ey dh-ah w-aa-l-ah-z ah-n-hh-aa-r-m-ih-ng k-ao-r-p-s , w-ih-dh t-r-eh-m-b-ah-l-ih-ng f-ih-ng-g-er-z ih-s s-eh-t d-aw-n ih-n dh-ah l-ao-g -- sh-ow-l-z , r-aa-k-s , ae-n-d b-r-ey-k-er-z hh-ih-r-ah-b-aw-t-s : b-ih-w-eh-r !	0/0 1 1 1/0 1/1 1 1/0 1/1/0/0/0 1 0/1 , 1 0 1/0 0/1/0 0 1/0 1 , 0/0/0/1 1 1 0 1 1 1/0 0 0 1 , 1 0 1 1 1/0 1 0/1 1 ; 1/1 0 1/0 0/0/0 1 , 1 1/0/0 1/0 1 1 1 0 0 1 -- 1 , 1 , 1 1/0 1/0/0 : 0/1 !
Thus, while in life the great whale's body may have been a real terror to his foes, in his death his ghost becomes a powerless panic to a world.	rb-,-in-in-nn-dt-jj-nns-nn-md-vbp-vbn-dt-jj-nn-to-prp$-nns-,-in-prp$-nn-prp$-nn-vbz-dt-jj-nn-to-dt-nn-.	dh-ah-s , w-ay-l ih-n l-ay-f dh-ah g-r-ey-t w-aa-l-ah-z b-aa-d-iy m-ey hh-ae-v b-ih-n ey r-iy-l t-eh-r-er t-uw hh-ih-z f-ow-z , ih-n hh-ih-z d-eh-th hh-ih-z g-ow-s-t b-ih-k-ah-m-z ey p-aw-er-l-ah-s p-ae-n-ih-k t-uw ey w-er-l-d .	1 , 1 0 1 0 1 1/0 1/0 1 1 1 1 1 1/0 1 1 1 , 0 1 1 1 1 0/1 1 1/0/0 1/0 1 1 1 .
Now, the beheading of the Sperm Whale is a scientific anatomical feat, upon which experienced whale surgeons very much pride themselves: and not without reason.	rb-,-dt-vbg-in-dt-nnp-nnp-vbz-dt-jj-jj-nn-,-in-wdt-vbn-nn-nns-rb-jj-nn-prp-:-cc-rb-in-nn-.	n-aw , dh-ah b-ih-hh-eh-d-ih-ng ah-v dh-ah s-p-er-m w-ey-l ih-s ey s-ay-ah-n-t-ih-f-ih-k ae-n-ah-t-aa-m-ah-k-ah-l f-iy-t , ah-p-aa-n w-ih-ch ih-k-s-p-ih-r-iy-ah-n-s-t w-ey-l s-er-jh-ah-n-z v-eh-r-iy m-ah-ch p-r-ay-d dh-eh-m-s-eh-l-v-z : ae-n-d n-aa-t w-ih-th-aw-t r-iy-z-ah-n .	1 , 0 0/1/0 1 0 1 1 1 1 0/0/1/0 0/0/1/0/0 1 , 0/1 1 0/1/0/0 1 1/0 1/0 1 1 0/1 : 1 1 0/1 1/0 .
Consider that the whale has nothing that can properly be called a neck; on the contrary, where his head and body seem to join, there, in that very place, is the thickest part of him.	vb-in-dt-nn-vbz-nn-in-md-rb-vb-vbn-dt-nn-;-in-dt-jj-,-wrb-prp$-nn-cc-nn-vb-to-vb-,-ex-,-in-in-rb-nn-,-vbz-dt-nn-nn-in-prp-.	k-ah-n-s-ih-d-er dh-ae-t dh-ah w-ey-l hh-ae-z n-ah-th-ih-ng dh-ae-t k-ae-n p-r-aa-p-er-l-iy b-iy k-ao-l-d ey n-eh-k ; aa-n dh-ah k-aa-n-t-r-eh-r-iy , w-eh-r hh-ih-z hh-eh-d ae-n-d b-aa-d-iy s-iy-m t-uw jh-oy-n , dh-eh-r , ih-n dh-ae-t v-eh-r-iy p-l-ey-s , ih-s dh-ah th-ih-k-ah-s-t p-aa-r-t ah-v hh-ih-m .	0/1/0 1 0 1 1 1/0 1 1 1/0/0 1 1 1 1 ; 1 0 1/0/0 , 1 1 1 1 1/0 1 1 1 , 1 , 0 1 1/0 1 , 1 0 1/0 1 1 1 .
Do you not marvel, then, at Stubb's boast, that he demanded but ten minutes to behead a sperm whale?	vb-prp-rb-vb-,-rb-,-in-nnps-vbp-,-in-prp-vbd-cc-nn-nns-to-vb-dt-nn-nn-?	d-uw y-uw n-aa-t m-aa-r-v-ah-l , dh-eh-n , ae-t s-t-ah-b-z b-ow-s-t , dh-ae-t hh-iy d-ih-m-ae-n-d-ah-d b-ah-t t-eh-n m-ih-n-ah-t-s t-uw b-ih-hh-eh-d ey s-p-er-m w-ey-l ?	1 1 1 1/0 , 1 , 1 1 1 , 1 1 0/1/0 1 1 1/0 1 1 1 1 1 ?
That done, if it belong to a small whale it is hoisted on deck to be deliberately disposed of.	in-vbn-,-in-prp-vbp-to-dt-jj-nn-prp-vbz-vbn-in-nn-to-vb-rb-vbn-in-.	dh-ae-t d-ah-n , ih-f ih-t b-ih-l-ao-ng t-uw ey s-m-ao-l w-ey-l ih-t ih-s hh-oy-s-t-ah-d aa-n d-eh-k t-uw b-iy d-ih-l-ih-b-er-ah-t-l-iy d-ih-s-p-ow-z-d ah-v .	1 1 , 1 1 0/1 1 1 1 1 1 1 1/0 1 1 1 1 0/1/0/0/0 0/1 1 .
But, with a full grown leviathan this is impossible; for the sperm whale's head embraces nearly one third of his entire bulk, and completely to suspend such a burden as that, even by the immense tackles of a whaler, this were as vain a thing as to attempt weighing a Dutch barn in jewellers' scales.	cc-,-in-dt-jj-vbn-jj-dt-nns-jj-;-in-dt-nn-nns-vbp-nns-rb-cd-nn-in-prp$-jj-nn-,-cc-rb-to-vb-jj-dt-nn-in-in-,-rb-in-dt-jj-nns-in-dt-nn-,-dt-nn-in-jj-dt-nn-in-to-nn-vbg-dt-nnp-nn-in-nns-'-nns-.	b-ah-t , w-ih-dh ey f-uh-l g-r-ow-n l-ah-v-ay-ah-th-ah-n dh-ih-s ih-s ih-m-p-aa-s-ah-b-ah-l ; f-ao-r dh-ah s-p-er-m w-aa-l-ah-z hh-eh-d eh-m-b-r-ey-s-ah-z n-ih-r-l-iy w-ah-n th-er-d ah-v hh-ih-z ih-n-t-ay-er b-ah-l-k , ae-n-d k-ah-m-p-l-iy-t-l-iy t-uw s-ah-s-p-eh-n-d s-ah-ch ey b-er-d-ah-n ae-z dh-ae-t , iy-v-ih-n b-ay dh-ah ih-m-eh-n-s t-ae-k-ah-l-z ah-v ey w-ey-l-er , dh-ih-s w-er ae-z v-ey-n ey th-ih-ng ae-z t-uw ah-t-eh-m-p-t w-ey-ih-ng ey d-ah-ch b-aa-r-n ih-n jh-uw-eh-l-er-z ' s-k-ah-l-z .	1 , 1 1 1 1 0/1/0/0 1 1 0/1/0/0 ; 1 0 1 1/0 1 0/1/0 1/0 1 1 1 1 0/1/0 1 , 1 0/1/0 1 0/1 1 1 1/0 1 1 , 1/0 1 0 0/1 1/0 1 1 1/0 , 1 0 1 1 1 1 1 1 0/1 1/0 1 1 1 0 1/0 ' 0 .
The Pequod's whale being decapitated and the body stripped, the head was hoisted against the ship's side--about half way out of the sea, so that it might yet in great part be buoyed up by its native element.	dt-nnps-nn-vbg-nn-cc-dt-nn-vbn-,-dt-nn-vbd-vbn-in-dt-nns-vbp-cd-in-nn-nn-in-in-dt-nn-,-rb-in-prp-md-rb-in-jj-nn-vb-vbn-in-in-prp$-jj-nn-.	dh-ah p-ey-k-w-aa-d-z w-ey-l b-iy-ih-ng d-ih-k-ae-p-ah-t-ey-t-ah-d ae-n-d dh-ah b-aa-d-iy s-t-r-ih-p-t , dh-ah hh-eh-d w-aa-z hh-oy-s-t-ah-d ah-g-eh-n-s-t dh-ah sh-ih-p-s s-ay-d -- ah-b-aw-t hh-ao-f w-ey aw-t ah-v dh-ah s-iy , s-ow dh-ae-t ih-t m-ay-t y-eh-t ih-n g-r-ey-t p-aa-r-t b-iy b-uw-iy-d ah-p b-ay ih-t-s n-ey-t-ih-v eh-l-ah-m-ah-n-t .	0 0/1 1 1/0 0/1/0/1/0 1 0 1/0 1 , 0 1 1 1/0 0/1 0 1 1 -- 0/1 1 1 1 1 0 1 , 1 1 1 1 1 0 1 1 1 1/0 1 1 1 1/0 1/0/0 .
