"Name of Satellite, Alternate Names"	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																												
"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)"	Japan	Japan	Sky Perfect JSAT Corporation	Commercial	Communications		GEO		132.04	"35,776"	"35,797"	2.49E-04	0.01	1436.1	"4,400"			4/12/2006	12 yrs.	Lockheed Martin Commercial Space Systems	USA	Sea Launch (Odyssey)	Zenit 3SL	2006-010A	29045	"C-band, Ku-band, and S-band transponders."		JM/12_08	http://www.boeing.com/news/releases/2006/q2/060412d_nr.html	http://www.lib.cas.cz/www/space.40/2006/010A.HTM																																																																																																																																																																																																																																
"JCSat RA (JCSat 12, Japan Communications Satellite 12)"	Japan	Japan	Sky Perfect JSAT Corporation	Commercial	Communications		GEO		142.49	"35,780"	"35,794"	1.66E-04	0.04	1436.12	"4,000"			8/21/2009	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Guiana Space Center	Ariane 5	2009-044A	35755	Backup for other JCSATs.		JM/10_09	http://www.space-travel.com/reports/Arianespace_To_Launch_Japanese_Satellite_JCSAT_12_999.html	http://www.jsati.com/satellite-servicesJCSAT.asp																																																																																																																																																																																																																																
Jugnu	India	India	Indian Institute of Technology Kanpur	Civil	Earth Observation	Optical Imaging	LEO		0	839	866	1.87E-03	20	102	3		3	10/12/2011	1 yr.	Indian Institute of Technology Kanpur	India	Sriharikota Launch Station	PSLV	2011-058B	37839	The mission goal is to make a nanosatellite at IIT Kanpur that would serve the following applications: 1. Micro Imaging System; 2. GPS receiver for locating the position of satellite in the orbit; 3. MEMS based IMU (Inertial Measurement Unit) 		www.satellitedebris.net 12/12	http://www.lib.cas.cz/space.40/2011/058B.HTM	http://articles.economictimes.indiatimes.com/2011-10-12/news/30271111_1_smaller-satellites-indian-space-research-organization-small-satellite	http://www.iitk.ac.in/me/jugnu/objectives.htm																																																																																																																																																																																																																															
Kalpana-1 (Metsat-1)	India	India	Indian Space Research Organization (ISRO)	Government	Earth Observation	Meteorology	GEO		74.07	"35,783"	"35,789"	7.12E-05	0.04	1436.08	"1,060"	500	550	9/12/2002	5-7 yrs.	ISRO Satellite Center	India	Satish Dhawan Space Center	Polar Satellite Launch Vehicle (PSLV)	2002-043A	27525	Carries a VHRR (Very High Resolution Radiometer); Data Relay Transponder		JM/12_08	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx587.html	http://www.isro.org/rep2003/Webpgs/pg8.htm																																																																																																																																																																																																																															
KazEOSat-1 (Kazcosmos Earth Observation Satellite)	NR	Kazakhstan	Kazcosmos	Government	Earth Observation	Optical Imaging	LEO		0	751	754	2.11E-04	98.53	99.87	830		"1,200"	4/30/2014	7.25 yrs.	Airbus Defence and Space	France	Guiana Space Center	Vega	2014-024A	39731	"High-resolution observation satellite owned by Kazakhstan, tasks including monitoring of natural and agricultural resources, provision of mapping data, and support for rescue operations in the event of a natural disaster."		SC - ASCR	https://directory.eoportal.org/web/eoportal/satellite-missions/k/kazeosat-1	http://space50.kosmo.cz/s40/2014/I024A.HTM	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																															
KazEOSat-2 (kazcosmos Earth Observation Satellite)	NR	Kazakhstan	Kazcosmos	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	612	636	1.72E-03	97.99	97.19	185		55	6/19/2014	7 yrs.	Surrey Satellite Technology Ltd. (SSTL)	UK	Dombarovsky Air Base	Dnepr	2014-033A	40010	Medium-resolution observaton satellite owned by Kazakshstan.		ZARYA	https://directory.eoportal.org/web/eoportal/satellite-missions/k/kazeosat-2	http://www.sstl.co.uk/News-and-Events/2014-News-Archive/SSTL-announces-successful-launch-of-KazEOSat-2																																																																																																																																																																																																																																
KazSat-2	Kazakhstan	Kazakhstan	JSC KazSat	Commercial	Communications		GEO		86.5	"35,786"	"35,788"	2.37E-05	0.03	1436.13	"1,300"			7/15/2011	12 yrs.	Khrunichev	Russia	Baikonur Cosmodrome	Proton-M	2011-035B	37749	Replaced KazSat-1.		JM/9_11	http://www.aviationweek.com/aw/generic/story_channel.jsp?channel=AviationWeek.com&id=news/awx/2011/07/18/awx_07_18_2011_p0-348829.xml&headline=Proton%20Orbits%20SES-3%20KazSat-2		http://www.planet4589.org/space/log/geo.log	http://www.lib.cas.cz/space.40/2011/035B.HTM																																																																																																																																																																																																																														
KazSat-3	NR (12/1/14)	Kazakhstan	JSC KazSat	Commercial	Communications		GEO		58.5	"35,784"	"35,789"	5.93E-05	0.12	1436.08			"5,500"	4/28/2014	15 yrs.	Thales Alenia Space	Italy	Baikonur Cosmodrome	Proton-M	2014-023B	39728	"Communications satellite for Kazakhstan to provide point-to-point links, TV and high-speed Internet."		SC - ASCR	https://www.thalesgroup.com/en/worldwide/space/press-release/successful-launch-kazsat3-and-loutch-5v-satellites	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://space50.kosmo.cz/s40/2014/I023B.HTM																																																																																																																																																																																																																															
"Keyhole 3 (Advanced KH-11, KH-12-4, Advanced Keyhole, Misty-2, EIS-1, 8X Enhanced Imaging System, USA 144)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	800	800	0.00E+00	63.4	100.87	"18,000"	"10,000"		5/22/1999	5+ yrs.	National Reconnaissance Laboratory	USA	Vandenberg AFB	Titan IV	1999-028A	25744	$1 billion satellite; high resolution surveillance; can carry up to 7 metric tons of fuel.		JMSatcat1006	http://www.space.com/missionlaunches/nro_preview_010906.html	http://users.ox.ac.uk/cgi-bin/safeperl/daveh/satellite	http://www.space.com/missionlaunches/nro_preview_010906.html	http://www.dailywireless.org/modules.php?name=News&file=article&sid=3423	http://www.fas.org/spp/military/program/imint/kh-12.htm	http://www.cdi.org/friendlyversion/printversion.cfm?documentID=399																																																																																																																																																																																																																												
"Keyhole 4 (Advanced KH-11, Advanced Keyhole, Improved Crystal, EIS-2, 8X Enhanced Imaging System, NROL 14, USA 161)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	202	"1,041"	6.00E-02	97.8	97.13	"18,000"	"10,000"		10/5/2001	5+ yrs.	Lockheed Martin	USA	Vandenberg AFB	Titan IV	2001-044A	26934	$1 billion satellite; high resolution surveillance; can resolve square or circular objects as small as 10 cm but linear structures of 5-8 cm can also be detected. Reported to have reduced capacity due to electrical problems.		oosa	http://www.globalsecurity.org/_inc./quinstreet.htm	http://www.oosa.unvienna.org/Reports/Regdocs/ser404E.pdf	http://www.msnbc.com/news/185953.asp#BODY	http://www.designation-systems.net/dusrm/app3/sat-summary.html	http://www.spacetoday.org/Satellites/YugoWarSats.html	http://www.usnews.com/usnews/news/articles/030811/11nro_5.htm																																																																																																																																																																																																																												
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	264	"1,050"	5.59E-02	97.9	97	"18,000"	"10,000"		10/19/2005	5+ yrs.	Lockheed Martin	USA	Vandenberg AFB	Titan IV	2005-042A	28888	$1 billion satellite; last use of Titan IV as launch vehicle.		JMSR	http://www.nro.gov/PressReleases/prs_rel86.html	http://www.space.com/missionlaunches/fl_titan4_preview_010930.html																																																																																																																																																																																																																																
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	200	"1,000"	5.74E-02	97.8	97	"18,000"	"10,000"		1/20/2011	5+ yrs.	Lockheed Martin	USA	Vandenberg AFB	Delta 4 Heavy	2011-002A	37348	Believed to be KH-11 class.			http://www.nasaspaceflight.com/2011/01/live-delta-iv-heavy-launch-nro-l-49/	http://www.skyrocket.de/space/doc_sdat/kh-12.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx687.html																																																																																																																																																																																																																															
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)"	NR	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	257	997	5.29E-02	97.8	97.25	"18,000"	"10,000"		8/28/2013	5+ yrs.	Lockheed Martin	USA	Vandenberg AFB	Delta 4 Heavy	2013-043A	39232	Believed to be KH-11 class.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://www.zarya.info/Diaries/US/KH11.php	http://www.nasaspaceflight.com/2013/09/atlas-v-loft-aehf-3-satellite/																																																																																																																																																																																																																															
"Kiku-8 (ETS-8, Engineering Test Satellite 8)"	Japan	Japan	National Institute of Information and Communications Technology (NICT)	Government	Technology Development		GEO		146.06	"35,778"	"35,792"	1.66E-04	0.03	1436.04	"5,800"			12/18/2006		Mitsubishi Electric	Japan	Tanegashima Space Center	H2A	2006-059A	29656	Technology development for satellite communications; JAXA portion completed.		JM/12_08	http://www.lib.cas.cz/www/space.40/INDEX1.HTM	http://www.jaxa.jp/countdown/f11/outline/index_e.html	http://www.scienceknowledge.org/2010/08/04/end-of-mission-for-the-satellite-test-kiku-viii/																																																																																																																																																																																																																															
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite)	Japan	Japan	Japan Aerospace Exploration Agency (JAXA)	Government	Technology Development		GEO		143.05	"35,776"	"35,796"	2.37E-04	0.02	1436.1	"4,850"	"2,450"		2/23/2008		JAXA/National Institute of Information and Communications Technology (NICT)	Japan	Tanegashima Space Center	H2A	2008-007A	32500	"Technology demonstration; carries ultra-fast, 1.2 Gbps direct-to-home downlink in Ka-band."		JM/12_08	http://www.lib.cas.cz/space.40/2008/007A.HTM	http://www.jaxa.jp/countdown/f14/overview/kizuna_e.html																																																																																																																																																																																																																																
"KKS-1 (Kouku Kousen Satellite One, Kiseki)"	Japan	Japan	Tokyo Metropolitan College of Industrial Technology	Civil	Technology Development		LEO		0	651	667	1.14E-03	98.03	97.92	3			1/23/2009	1 yr.	Tokyo Metropolitan College of Industrial Technology	Japan	Tanegashima Space Center	H-2A	2009-002H	33499	"Experiments on micro-thrusters, basic experiments on 3-axis attitude control and take land images with a camera."		SC - ASCR	http://www.ne.jp/asahi/hamradio/je9pel/satslist.htm	http://www.n2yo.com/satellite/?s=33499																																																																																																																																																																																																																																
Kobalt-M (Cosmos 2505)	NR	Russia	Ministry of Defence	Military	Reconnaissance	Optical Imaging	LEO		0	177	285	8.18E-03	81.4	89.12	"6,000"			6/5/2015	.3 yrs.	Arsenal	Russia	Plesetsk Cosmodrome	Soyuz 2-1a	2015-027A	40667	Military reconnissance imaging satellite. Will be in orbit about 4 months. Drops cannisters for recovery.		JM/8_15	http://russianforces.org/blog/2015/06/successful_launch_of_kobalt-m.shtml																																																																																																																																																																																																																																	
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)"	South Korea	South Korea	Korea Aerospace Research Institute (KARI)	Government/Commercial	Earth Observation/Technology Development	Optical Imaging	LEO	Sun-Synchronous	0	676	698	1.56E-03	98.2	98.5	800		955	7/28/2006	 3 yrs.	Korea Aerospace Research Institute (KARI)/ EADS Astrium	South Korea/France/UK/Germany	Plesetsk Cosmodrome	Rokot	2006-031A	29268	"High-resolution, multispectral images of Earth's surface."		www.satellitedebris.net 12/12	http://nssdc.gsfc.nasa.gov/spacewaern/spx633.html	http://directory.eoportal.org/pres_KOMPSAT2KoreaMultiPurposeSatellite2Arirang2.html		http://www.lib.cas.cz/www/space.40/2006/031A.HTM																																																																																																																																																																																																																														
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)"	South Korea	South Korea	Korea Aerospace Research Institute (KARI)	Government/Commercial	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	679	696	1.20E-03	98.2	98.5	980		"1,300"	5/17/2012	4 yrs.	Korea Aerospace Research Institute (KARI)/ EADS Astrium	South Korea/France/UK/Germany	Tanegashima Space Center	H2A	2012-025B	38338	"Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary/strategic imaging role."		www.satellitedebris.net 12/12	https://directory.eoportal.org/web/eoportal/satellite-missions/k/kompsat-3	http://www.guardian.co.uk/world/feedarticle/10247807	http://database.eohandbook.com/database/missionsummary.aspx?missionID=637	http://www.zarya.info/Diaries/Launches/Launches.php?year=2012	http://weebau.com/satellite/K/kompsat3.htm																																																																																																																																																																																																																													
"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)"	South Korea	South Korea	Korea Aerospace Research Institute (KARI)	Government/Commercial	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	522	540	1.30E-03	97.5	95.25	980		"1,300"	3/25/2015	4 yrs.	Korea Aerospace Research Institute (KARI)	South Korea	Dombarovsky Air Base	Dnepr	2015-014A	40536	"Support Geographical Information Systems, environmental, agricultural and oceanographic monitoring. There may also be a miltary/strategic imaging role."		JM/8_15	https://directory.eoportal.org/web/eoportal/satellite-missions/content/-/article/kompsat3	http://www.nasaspaceflight.com/2015/03/russias-dnepr-rocket-kompsat-3a-mission/																																																																																																																																																																																																																																
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)"	South Korea	South Korea	Korea Aerospace Research Institute (KARI)	Government/Commercial	Earth Observation	Radar Imaging	LEO	Sun-Synchronous	0	535	552	1.23E-03	97.6	95.5	"1,400"		"1,400"	8/22/2013	5 yrs.	Korea Aerospace Research Institute (KARI)	South Korea	Dombarovsky Air Base	Dnepr	2013-042A	39227	To develop the first Korean SAR (Synthetic Aperture Radar) Satellite		ZARYA	http://www.kari.re.kr/data/eng/contents/Space_003.asp?catcode=1010111200&depthno=0	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://www.nasaspaceflight.com/2013/08/russian-dnepr-rocket-airang-5/																																																																																																																																																																																																																															
Kondor (Cosmos 2487)	Russia	Russia	Ministry of Defense	Military	Earth Observation	Radar Imaging	LEO		0	497	501	2.91E-04	74.73	94.6	"1,150"			6/27/2013		NPO Mashinostroyeniya	Russia	Baikonur Cosmodrome	Strela	2013-032A	39194	Radar imaging satellite.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013	http://russianforces.org/blog/2013/06/russia_launches_first_kondor_s.shtml																																																																																																																																																																																																																																
Koreasat 5 (Mugungwha 5)	South Korea	South Korea	KT Corporation/Korean Agency for Defense Development (ADD)	Military/Commercial	Communications		GEO		113.08	"35,780"	"35,792"	1.42E-04	0.02	1436.1	"4,450"			8/22/2006		Alcatel Alenia Space	France	Sea Launch (Odyssey)	Zenit 3SL	2006-034A	29349	"24 Ku-band, 8 SHF-band, and 4 Ka-band transponders for commercial and military use."		JM/12_08	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2006/034A.HTM																																																																																																																																																																																																																																	
Koreasat 6 (Mugungwha 6)	South Korea	South Korea	KT Corporation	Commercial	Communications		GEO		116	"35,780"	"35,794"	1.66E-04	0.05	1436.12	"2,850"	"1,150"		12/29/2010	15 yrs.	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5	2010-070B	37265	Enhanced HD and 3D satellite TV programs. 30 Ku-and transponders. Will replace Koreasat 3.		SC - ASCR	http://www.orbital.com/SatellitesSpace/Communications/KOREASAT6/	http://www.lib.cas.cz/space.40/2010/070B.HTM																																																																																																																																																																																																																																
Kuaizhou-2 (KZ-2)	NR (1/15)	China	National Academy of Sciences	Government	Earth Observation	Optical Imaging	LEO		0	295	328	2.47E-03	96.54	90.76				11/21/2014		Harbin Institute of Technology	China	Jiuquan Satellite Launch Center	Kuaizhou	2014-073A	40311	"Quick launch, with satellite integrated with upper stage. Disaster monitoring."		ZARYA	http://www.spaceflight101.com/kuaizhou---kuaizhou-2-launch.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																																
Kukai (STARS-1)	NR	Japan	Kanagawa University	Civil	Technology Development		LEO		0	647	667	1.42E-03	98.03	97.88	7			1/23/2009		Kanagawa University	Japan	Tanegashima Space Center	H-2A	2009-002G	33498	A tethered satellite consisting of a “mother” unit (KU) and a “daughter” unit (KAI). The two satellites are connected via a 5 meter tether to be deployed following deployment. Also carries an amaeur radio package.		SC - ASCR	http://www.amsat.org/?page_id=3346	http://nssdc.gsfc.nasa.gov/nmc/masterCatalog.do?sc=2009-002G	http://www.lib.cas.cz/space.40/2009/002G.HTM																																																																																																																																																																																																																															
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Radar Imaging	LEO	Intermediate	0	671	675	2.84E-04	57	98.2	"14,500"			10/24/1997	5 yrs.	Lockheed Martin Astronautics	USA	Vandenberg AFB	Titan IV	1997-064A	25017	"$1 billion range; space-based imaging radar, uses radar pulses to see through clouds, fog, haze, darkness and generate images."		JMSatcat304	http://www.strategypage.com/htmw/htspace/articles/20110411.aspx	http://www.wiley.com/legacy/wileychi/maini/supp/Compendium_of_Satellites.pdf	http://mt-milcom.blogspot.com/2006/12/nrol-21-launched.html	http://www.nasaspaceflight.com/2013/12/atlas-v-launch-nrol-39-vandenberg/																																																																																																																																																																																																																														
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Radar Imaging	LEO	Intermediate	0	574	676	7.29E-03	68	97.21	"14,500"			8/17/2000	9 yrs.	Lockheed Martin Astronautics	USA	Vandenberg AFB	Titan IV	2000-047A	26473	$1 billion range; 3-10 ft. image resolution.		JMSatcat304	http://www.designation-systems.net/dusrm/app3/sat-summary.html	http://www.floridatoday.com/space/explore/stories/2000b/081600c.htm	http://www.afji.com/ISR/Mags/2002/Issue3/space.html	http://membres.lycos.fr/filterman/duncan-campbell.htm	http://www.nasaspaceflight.com/2013/12/atlas-v-launch-nrol-39-vandenberg/	http://www.spacenewsfeed.co.uk/2000/20August2000.html#Launches																																																																																																																																																																																																																												
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)"	USA	USA	National Reconnaissance Office (NRO)	Military	Earth Observation	Radar Imaging	LEO	Intermediate	0	713	716	2.12E-04	57.01	99.08	"14,500"			4/30/2005	9 yrs.	Lockheed Martin Astronautics	USA	Cape Canaveral	Titan 4B	2005-016A	28646	$1 billion range.		SC - ASCR	http://www.aus-city.com/cgi-bin/ultimatebb.cgi?ubb=get_topic;f=4;t=001169;p=0	http://www.lib.cas.cz/www/space.40/2005/016A.HTM	http://www.iee.org/oncomms/circuit/members/Paper_J%20Doonan.doc	http://www.informationclearinghouse.info/article3509.htm	http://www.nasaspaceflight.com/2013/12/atlas-v-launch-nrol-39-vandenberg/																																																																																																																																																																																																																													
Landsat 7 	USA	USA	NASA/US Geological Survey	Government	Earth Observation	Earth Science	LEO	Sun-Synchronous	0	702	703	7.07E-05	98.2	98.8	"2,744"	"2,200"	"1,500"	4/15/1999	15 yrs.	Lockheed Martin Missiles and Space	USA	Vandenberg AFB	Delta 2	1999-020A	25682	Remote sensing; polar orbit.		www.satellitedebris.net 12/12	http://www.ga.gov.au/acres/prod_ser/landdata.htm	http://nssdc.gsfc.nasa.gov/spacewarn/spx546.html	http://www.floridatoday.com/space/explore/stories/1999/041599ai.htm	http://landsat.usgs.gov/about.html	http://www.sciencemaster.com/jump/space/landsat.php	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																												
Landsat 8	USA	USA	NASA/US Geological Survey	Government	Earth Observation	Earth Science	LEO	Sun-Synchronous	0	700	705	3.53E-04	98.2	98.8	"2,780"	"1,512"	"4,300"	2/11/2013	5 yrs.	Orbital Sciences Corp.	USA	Vandenberg AFB	Atlas 5	2013-008A	39084	Replacement for Landsat 5.		SC - ASCR	http://science.nbcnews.com/_news/2013/05/06/18090996-three-months-after-launch-landsat-8-appears-to-be-working-flawlessly?lite	https://directory.eoportal.org/web/eoportal/satellite-missions/l/landsat-8-ldcm	http://space50.kosmo.cz/s40/2013/INDEX1.HTM																																																																																																																																																																																																																															
LAPAN-Tubsat	NR	Indonesia	Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN)	Government	Earth Observation/Technology Development	Optical Imaging	LEO	Sun-Synchronous	0	617	637	1.43E-03	97.7	97.2	60		14	1/10/2007		Technical University of Berlin	Germany	Satish Dhawan Space Center	PSLV C7	2007-001A	29709	Video camera surveillance microsatellite; based on German DLR-Tubsat; will perform experiments in attitude control and earth observation.		www.satellitedebris.net 12/12	http://www.n2yo.com/satellite.php?s=29709	http://www.ilr.tu-berlin.de/RFA/sat/lapan/paper/triharj1.pdf	http://www.spacedaily.com/reports/First_Indonesian_Developed_Satellite_To_Be_Launched_In_October_999.html																																																																																																																																																																																																																															
LatinSat A	NR	Argentina	Aprize Satellites Argentina	Commercial	Communications		LEO	Intermediate	0	610	668	4.14E-03	64.6	97.5		12		12/20/2002		SpaceQuest	USA	Baikonur Cosmodrome	Dnepr LV	2002-058H	27612	"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services."		www.satellitedebris.net 12/12	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx590.html	http://www.aprizesat.com/faqs.asp																																																																																																																																																																																																																															
LatinSat B 	NR	Argentina	Aprize Satellites Argentina	Commercial	Communications		LEO	Intermediate	0	603	717	8.11E-03	64.6	97.9		12		12/20/2002		SpaceQuest	USA	Baikonur Cosmodrome	Dnepr LV	2002-058B	27606	"Nanosatellite; planned constellation of 48 satellites, little LEO; asset tracking and monitoring services."		www.satellitedebris.net 12/12	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx590.html	http://www.aprizesat.com/faqs.asp																																																																																																																																																																																																																															
"Leasat 5 (Syncom IV-5, Leased Satellite F5)"	USA	USA/Australia	US DoD/Royal Australian Navy/Panamsat (owner)	Military	Communications		GEO		100.08	"35,760"	"35,812"	6.17E-04	7.97	1436.1	"3,400"	"1, 388"	"1,200"	1/9/1990	10 yrs.	Hughes	USA	Cape Canaveral	Space Shuttle (STS 32R)	1990-002B	20410	Ultra High Frequency (UHF) satellite communications services for U.S. DoD and Australian Defense Forces.		JM/12_08	http://www.boeing.com/defense-space/space/bss/hsc_pressreleases/98_05_11_aust.html	http://www.g2satellitesolutions.com/pressreleases/98_05_11_hgs_aust.html	http://www.astronautix.com/details/lea53950.htm	http://www.intelsatgeneral.com/services/hp/heritage.aspx																																																																																																																																																																																																																														
Lemur-1	NR (12/1/14)	USA	Spire	Commercial	Technology Development		LEO	Sun-Synchronous	0	612	697	6.05E-03	97.98	97.82	4			6/19/2014		NanoSatisfi Inc.	USA	Dombarovsky Air Base	Dnepr	2014-033AL	40044	Prototype. Earth imaging constellation.		ZARYA	http://www.nesdis.noaa.gov/CRSRA/files/LEMUR-1_Publishable_Description.pdf																																																																																																																																																																																																																																	
Ling Qiao	NR (1/15)	China	Xinwei Telecom Technology Company	Commercial	Technology Development		LEO		0	779	808	2.02E-03	98.47	100.73	100			9/4/2014		Xinwei Telecom Technology Co/Tsinghua University	China	Jiuquan Satellite Launch Center	Long March 2D	2014-051A	40136	Test satellite for multimedial communications.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://www.spaceflight101.com/chinese-long-march-2d-successfully-launches-two-satellites---ling-qiao--cx-1-04.html																																																																																																																																																																																																																																
Lotos-S1 (Cosmos 2455)	Russia	Russia	Ministry of Defense	Military	Earth Observation	Electronic Intelligence	LEO	Sun-Synchronous	0	900	911	7.56E-04	67.2	103.1	"5,000"			11/20/2009		TsSKB-Progress Samara Space Center and KB Arsenal	Russia	Plesetsk Cosmodrome	Soyuz U	2009-063A	36095	"New generation electronic reconnaissance satellite, possibly will work as part of the Liana electronic reconnaissance system. "		www.satellitedebris.net 12/12	http://russianforces.org/blog/2009/11/cosmos-2455_-_a_new_generation.shtml	http://www.lib.cas.cz/space.40/2009/063A.HTM		http://www.planet4589.org/space/jsr/back/news.618																																																																																																																																																																																																																														
Lotos-S2 (Cosmos 2502)	NR (1/15)	Russia	Ministry of Defense	Military	Earth Observation	Electronic Intelligence	LEO	Sun-Synchronous	0	901	910	6.19E-04	67.15	103.11	"5,000"			12/23/2014		TsSKB-Progress Samara Space Center and KB Arsenal	Russia	Plesetsk Cosmodrome	Soyuz 2-1b	2014-086A	40358	Electronic intelligence gathering (ELINT).		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://russianforces.org/blog/2014/12/launch_of_a_lotos-s_electronic.shtml																																																																																																																																																																																																																																
Lotos-S3 (Cosmos 2503)	NR	Russia	Ministry of Defense	Military	Earth Observation	Electronic Intelligence	LEO	Sun-Synchronous	0	555	570	1.08E-03	98	96				2/27/2015		Progress Rocket and Space Center	Russia	Plesetsk Cosmodrome	Soyuz-2.1b	2015-009A	40420	Electronic intelligence gathering (ELINT).			http://russianforces.org/blog/2015/02/launch_of_an_optical_reconnais.shtml	http://www.russianspaceweb.com/liana.html																																																																																																																																																																																																																																
Luch 5A	Russia	Russia	Russian Federal Space Agency	Government	Communications		GEO			"35,778"	"35,793"	1.78E-04	4.85	1436.8	950			12/11/2011		    ISS Reshetnev/Thales Alenia Space	Russia/France	Baikonur Cosmodrome	Proton M	2011-074B	37951	"Seven S-band and Ku-band channels. The 1,148-kg spacecraft will provide TV and data communications links between the International Space Station and the ground, as well as orbital control of spacecraft in low Earth orbit."		JM/1_12	http://www.lib.cas.cz/space.40/2011/074B.HTM	"http://www.aviationweek.com/aw/generic/story_generic.jsp?channel=space&id=news/asd/2011/12/13/13.xml&headline=Russia%20Launches%20Amos%205,%20Luch-5A%20Sat"																																																																																																																																																																																																																																
Luch 5B	Russia	Russia	Russian Federal Space Agency	Government	Communications		GEO		-16	"35,772"	"35,801"	3.44E-04	0.22	1436.09	"1,282"	950		11/2/2012		OAO ISS	Russia	Baikonur Cosmodrome	Proton M	2012-061A	38977	"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS."		SC - ASCR	http://space50.kosmo.cz/s40/2012/I061A.HTM																																																																																																																																																																																																																																	
Luch 5V	Russia	Russia	Russian Federal Space Agency	Government	Communications		GEO		95	"35,767"	"35,802"	4.15E-04	4.76	1435.99	"1,148"	950	"2,200"	4/28/2014	10 yrs.	OAO Rešetn?va	Russia	Baikonur Cosmodrome	Proton M	2014-023A	39727	"Relay commands and data. Provide secure communication links, command relay to spacecraft, and communication with ISS. Time correction for GLONASS."		SC - ASCR	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014	http://space50.kosmo.cz/s40/2014/I023A.HTM	http://www.tsenki.com/en/launch_services/help_information/launch/2014/?EID=109828																																																																																																																																																																																																																															
