"Name of Satellite, Alternate Names"	Country/Org of UN Registry	Country of Operator/Owner	Operator/Owner	Users	Purpose	Detailed Purpose	Class of Orbit	Type of Orbit	Longitude of GEO (degrees)	Perigee (km)	Apogee (km)	Eccentricity	Inclination (degrees)	Period (minutes)	Launch Mass (kg.)	Dry Mass (kg.)	Power (watts)	Date of Launch	Expected Lifetime	Contractor	Country of Contractor	Launch Site	Launch Vehicle	COSPAR Number	NORAD Number	Comments		Source Used for Orbital Data	Source	Source	Source	Source	Source	Source																																																																																																																																																																																																																												
Aerocube 6A	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO		0	614	700	6.12E-03	97.98	97.88	5			6/19/2014	3 yrs.	Aerospace Corporation	USA	Dombarovsky Air Base	Dnepr	2014-033AM	40045	Technology development for cubesat constellation.		ZARYA	http://www.aerospace.org/2014/06/26/aerocube-6-launches-aboard-russian-rocket/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																																
Aerocube 6B	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO		0	614	700	6.12E-03	97.98	97.88	5			6/19/2014	3 yrs.	Aerospace Corporation	USA	Dombarovsky Air Base	Dnepr	2014-033AN	40046	Technology development for cubesat constellation.		ZARYA	http://www.aerospace.org/2014/06/26/aerocube-6-launches-aboard-russian-rocket/	http://www.zarya.info/Diaries/Launches/Launches.php?year=2014																																																																																																																																																																																																																																
Aerocube 8A	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO		0	356	700	2.49E-02	55	95.19	5			5/20/2015		Aerospace Corporation	USA	Cape Canaveral	Atlas 5	2015-025J	40659			JM/8_15	http://www.spaceflight101.com/afspc-05-secondary-payloads.html																																																																																																																																																																																																																																	
Aerocube 8B	NR	USA	Aerospace Corporation	Commercial	Technology Development		LEO		0	356	700	2.49E-02	55	95.19	5			5/20/2015		Aerospace Corporation	USA	Cape Canaveral	Atlas 5	2015-025K	40660			JM/8_15	http://www.spaceflight101.com/afspc-05-secondary-payloads.html																																																																																																																																																																																																																																	
"Afghansat-1 (Eutelsat 28B, Eutelsat 48B, Eutelsat W2M)"	France	Multinational	European Telecommunications Satellite Consortium (EUTELSAT)	Commercial	Communications		GEO		48.00	"35,764"	"35,808"	5.22E-04	0.12	1436.08	"3,460"	"1,555"	"7,000"	12/20/2008	15 yrs.	EADS Astrium	France	Guiana Space Center	Ariane 5	2008-065B	33460	30 Ku-band transponders.		JM/12_08	http://www.cdi.org/friendlyversion/printversion.cfm?documentID=4478	http://www.tbs-satellite.com/tse/online/sat_eutelsat_w2m.html	http://en.wikipedia.org/wiki/Eutelsat_W2M																																																																																																																																																																																																																															
Afristar 	USA	USA	1Worldspace	Commercial	Communications		GEO		20.97	"35,770"	"35,802"	3.80E-04	0.03	1436.09	"2,704"	"1,530"	"5,500"	10/28/1998	15 yrs.	Matra Marconi Space-France	France	Guiana Space Center	Ariane 44L	1998-063A	25515	"First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean."		JM/12_08	www.floridatoday.com/space/explore/stories/1998b/102898ac.htm	http://www.worldspace.com/coveragemaps/afristar.html	http://interglobal.org/frontier/10-30-98.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
AIM (Aeronomy of Ice in Mesosphere)	USA	USA	"Center for Atmospheric Sciences, Hampton University/NASA"	Government	Earth Observation	Earth Science	LEO		0	544	552	5.78E-04	97.9	96.2	215	197	216	4/25/2007	2 yrs.	Orbital Sciences Corp.	USA	Vandenberg AFB	Pegasus XL	2007-015A	31304	Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.		www.satellitedebris.net 12/12	http://aim.hamptonu.edu/	http://www.lib.cas.cz/www/space.40/2007/015A.HTM	http://www.nasa.gov/mission_pages/aim/index.html	http://www.lib.cas.cz/space.40/2011/044G.HTM																																																																																																																																																																																																																														
AISat-1	Germany	Germany	German Aerospace Center (DLR)	Government	Communications	Automatic Identification System (AIS)	LEO	Sun-Synchronous	0	643	660	1.21E-03	98.25	97.76	14			6/30/2014		German Aerospace Center (DLR)	Germany	Sriharikota Launch Station	PSLV-CA	2014-034B	40054	Satellite equipped with AIS tracking.		ZARYA	https://directory.eoportal.org/web/eoportal/satellite-missions/a/aisat	http://www.dlr.de/irs/en/desktopdefault.aspx/tabid-9335/16060_read-39531/																																																																																																																																																																																																																																
AISSat-1 (Automatic Identification System Satellite-1)	Norway	Norway	Norwegian Coastal Admnistration	Government	Communications	Automatic Identification System (AIS)	LEO	Polar	0	615	632	1.22E-03	98	97.2	6			7/12/2010	3 yrs.	Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies	Canada	Sriharikota Launch Station	PSLV	2010-035C	36797	Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.		www.satellitedebris.net 12/12	http://www.utias-sfl.net/nanosatellites/AISSat-1/	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035C.HTM	http://directory.eoportal.org/presentations/210/10000834.html	http://www.ffi.no/no/Publikasjoner/Documents/AISSAT-1_Norways%20first%20observation%20satellite.pdf																																																																																																																																																																																																																														
AISSat-2 (Automatic Identification System Satellite-2)	Norway	Norway	Norwegian Coastal Admnistration	Government	Communications	Automatic Identification System (AIS)	LEO	Polar	0	625	631	4.29E-04	98.4	97.27	6			7/8/2014	3 yrs.	Kongsberg Seatex AS/University of Toronto Institute for Aerospace Studies	Norway/Canada	Baikonur Cosmodrome	Soyuz-2.1b	2014-037G	40075	Second in the series.		ZARYA	http://www.ffi.no/no/Publikasjoner/Documents/AISSAT-1_Norways%20first%20observation%20satellite.pdf	http://web.spacecentre.no/eng/Norway-in-Space/Norway-s-Satellites																																																																																																																																																																																																																																
AIST-1	Russia	Russia	"Samara State Aerospace University, SGAU"	Civil	Technology Development		LEO		0	599	626	1.93E-03	82.4	96.9				12/28/2013		TsSKB Progress	Russia	Plesetsk Cosmodrome	"Soyuz 2,1v"	2013-078C	39492	Designed to measure the Earth’s geomagnetic field and test out a new satellite design.		ZARYA	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																																	
AIST-2	Russia	Russia	"Samara State Aerospace University, SGAU"	Civil	Technology Development		LEO		0	558	582	1.73E-03	64.88	96.06	53			4/19/2013	3 yrs.	"Samara State Aerospace University, SGAU"	Russia	Baikonur Cosmodrome	Soyuz 2.1a	2013-015D	39133	Designed to measure the Earth’s geomagnetic field and test out a new satellite design.			http://www.russianspaceweb.com/aist.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																																
Akebono (EXOS-D)	Japan	Japan	"Institute of Space and Aeronautical Science, University of Tokyo"	Civil	Space Science		Elliptical		0	259	"3,893"	2.15E-01	75.04	150.4		294	270 (EOL)	2/21/1989	1 yr.	"Institute of Space and Aeronautical Science, University of Tokyo"	Japan	Uchinoura Space Center	Mu 3S2	1989-016A	19822	Investigate particle acceleration regions above auroral region; develop better understanding of acceleration mechanism and relation to substorm phenomena.		WT	http://www.rolfisoft.de/html/satdb_1989_eng.html	http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1989-016A	http://www.jaxa.jp/missions/projects/sat/geospace/akebono/index_e.html																																																																																																																																																																																																																															
ALiCE  (AFIT LEO iMESA CNT E)	NR	USA	US Air Force Institute of Technology	Military	Technology Development		LEO		0	443	886	3.15E-02	120.3	98	5			12/6/2013		US Air Force Institute of Technology	USA	Vandenberg AFB	Atlas 5	2013-072F	39467	Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.		ZARYA estimated	http://www.spaceflight101.com/atlas-v-nrol-39-launch-updates.html	http://www.zarya.info/Diaries/Launches/Launches.php?year=2013																																																																																																																																																																																																																																
Alphasat I-XL  (Inmarsat IV-A F4)	United Kingdom	United Kingdom/ESA	"INMARSAT, Ltd./European Space Agency"	Commercial/Government	Communications/Technology Development		GEO		25	"35,786"	"35,787"	1.19E-05	0.02	1436.09	"6,650"	"3,370"	"12,000"	7/25/2013	15 yrs.	Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5 ECA	2013-038A	39215	Partnership between INMARSAT and ESA. Expands INMARSAT's communications and carries 4 technology demonstration packages.		ZARYA	http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview	http://www.esa.int/Our_Activities/Telecommunications_Integrated_Applications/Alphasat/Overview																																																																																																																																																																																																																																
Alsat-2A (Algeria Satellite 2A)	Algeria	Algeria	Centre National des Techniques Spatiales (CNTS)	Government	Earth Observation	Optical Imaging	LEO	Sun-Synchronous	0	672	674	1.42E-04	98.1	98.2	130			7/12/2010	5 yrs.	EADS Astrium	France/UK/Germany/Spain	Sriharikota Launch Station	PSLV	2010-035D	36798	"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."		www.satellitedebris.net 12/12	http://directory.eoportal.org/get_announce.php?an_id=14250	http://www.kosmo.cz/modules.php?op=modload&name=kosmo&file=index&fil=/s/2010/035D.HTM																																																																																																																																																																																																																																
Amazonas-1 	Brazil	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO		-61.02	"35,776"	"35,797"	2.49E-04	0.04	1436.1	"4,545"	"2,000"	"9,500 (EOL)"	8/4/2004	15 yrs.	EADS Astrium	France/UK/Germany/Spain	Baikonur Cosmodrome	Proton M	2004-031A	28393	"36 Ku-band, 27 C-band transponders; North and South American continents; Spanish language; leak detected - may not have enough fuel for 15-year life."		JM/12_08	http://www.heavens-above.com/satinfo.asp?satid=28393	http://www.universetoday.com/am/publish/proton_launches_amazonas_satellite.html	http://www.space.com/missionlaunches/proton_launch_040805.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
Amazonas-2	Brazil	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO		-61	"35,767"	"35,805"	4.51E-04	0.03	1436.08	"5,465"		"15,300"	10/1/2009	15 yrs.	EADS Astrium	France/UK/Germany/Spain	Guiana Space Center	Ariane 5	2009-054A	35942	"54 Ku-band, 10 C-band transponders; North, Central and South America."		JM/12_09	http://nssdc.gsfc.nasa.gov/spacewarn/spx672.html	http://www.hispasat.com/List.aspx?ShowSearch=true&sectionsId=87&lang=en																																																																																																																																																																																																																																
Amazonas-3	Brazil	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO		-61	"35,781"	"35,791"	1.19E-04	0.03	1436.05	"6,265"	"2,778"	"14,000"	2/7/2013	15 yrs.	Space Systems/Loral	USA	Guiana Space Center	Ariane 5 ECA	2013-006A	39078			SC - ASCR	http://www.hispasat.com/Detail.aspx?sectionsId=67&lang=en	http://www.arianespace.com/news-press-release/2013/2-7-2013-VA212-launch.asp	http://space50.kosmo.cz/s40/2013/INDEX1.HTM																																																																																																																																																																																																																															
Amazonas-4A	NR	Spain	Hispamar (subsidiary of Hispasat - Spain)	Commercial	Communications		GEO		-61	"35,784"	"35,795"	1.30E-04	0.08	1436.24	"2,938"			3/22/2014	15 yrs.	Orbital Sciences Corp.	USA	Guiana Space Center	Ariane 5 ECA	2014-011A	39616	Suffered a power malfunction shortly after entering orbit; will affect capacity.		SC - ASCR	http://www.satnews.com/story.php?number=247224721																																																																																																																																																																																																																																	
"AMC-1 (Americom 1, GE-1)"	USA	USA	SES (Société Européenne des Satellites (SES))	Commercial	Communications		GEO		-103.02	"35,772"	"35,800"	3.32E-04	0.03	1436.1	"2,783"	"1,600"	"6,500 (EOL)"	9/8/1996	15 yrs.	Lockheed Martin Commercial Space Systems	USA	Cape Canaveral	Atlas 2A	1996-054A	24315	"Broadcasting, business, cable, mobile; 24 C-band and 24 Ku-band transponders; 50 states and Caribbean"		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/	http://ses-americom.com/satellites/amc-1.html	http://www.chinastar.com.cn/english/sate/xnzb.html	http://perso.wanadoo.fr/eurospace/espdatabase/index.html																																																																																																																																																																																																																														
"AMC-10 (Americom-10, GE 10)"	USA	USA	SES World Skies	Commercial	Communications		GEO		-134.97	"35,775"	"35,797"	2.61E-04	0.01	1436.09	"2,315"	907	"6,500 (EOL)"	2/5/2004	15 yrs.	Lockheed Martin	USA	Cape Canaveral	Atlas 2AS	2004-003A	28154	24 C-band transponders.		JM/12_08	http://www.ses-americom.com/media/2004/02_05_04.html	http://www.ses-americom.com/satellites/amc-10-11.html	http://nssdc.gsfc.nasa.gov/spacewarn/spx604.html	http://www.planet4589.org/space/jsr/back/news.520																																																																																																																																																																																																																														
"AMC-11 (Americom-11, GE 11)"	USA	USA	SES World Skies	Commercial	Communications		GEO		-130.93	"35,774"	"35,797"	2.73E-04	0.04	1436.07	"2,340"	"2,316 (BOL)"	"6,500 (EOL)"	5/19/2004	15 yrs.	Lockheed Martin	USA	Cape Canaveral	Atlas 2AS	2004-017A	28252	24 C-band transponders.		JM/12_08	http://nssdc.gsfc.nasa.gov/spacewarn/spx607.html	http://www.ses-americom.com/satellites/amc-10-11.html	http://www.spaceref.com/news/viewpr.html?pid=14268	http://perso.wanadoo.fr/eurospace/espdatabase/index.html	http://www.lib.cas.cz/www/space.40/2004/017A.HTM																																																																																																																																																																																																																													
